f0020-01-s.cnf,0.003800,20.000000
f0020-01-u.cnf,0.002800,15.900000
f0020-02-s.cnf,0.003200,20.000000
f0020-02-u.cnf,0.001700,15.400000
f0020-03-s.cnf,0.002500,20.000000
f0020-03-u.cnf,0.002300,17.000000
f0020-04-s.cnf,0.002800,20.000000
f0020-04-u.cnf,0.002700,17.900000
f0020-05-s.cnf,0.002700,20.000000
f0020-05-u.cnf,0.001500,16.600000
f0020-06-s.cnf,0.002100,20.000000
f0020-06-u.cnf,0.001700,17.299999
f0020-07-s.cnf,0.001600,20.000000
f0020-07-u.cnf,0.001700,16.799999
f0020-08-s.cnf,0.001800,20.000000
f0020-08-u.cnf,0.003200,17.500000
f0040-01-s.cnf,0.005000,40.000000
f0040-01-u.cnf,0.013900,35.900002
f0040-02-s.cnf,0.006900,40.000000
f0040-02-u.cnf,0.020400,35.299999
f0040-03-s.cnf,0.003500,40.000000
f0040-03-u.cnf,0.012500,35.700001
f0040-04-s.cnf,0.003200,40.000000
f0040-04-u.cnf,0.010800,34.500000
f0040-05-s.cnf,0.002800,40.000000
f0040-05-u.cnf,0.008000,36.299999
f0040-06-s.cnf,0.002000,40.000000
f0040-06-u.cnf,0.007500,35.799999
f0040-07-s.cnf,0.003900,40.000000
f0040-07-u.cnf,0.007700,36.299999
f0040-08-s.cnf,0.004800,40.000000
f0040-08-u.cnf,0.008200,34.799999
