f0020-01-s.cnf,0.006000,19
f0020-01-u.cnf,0.013000,18
f0020-02-s.cnf,0.003000,20
f0020-02-u.cnf,0.011000,15
f0020-03-s.cnf,0.002000,20
f0020-03-u.cnf,0.009000,18
f0020-04-s.cnf,0.007000,18
f0020-04-u.cnf,0.013000,18
f0020-05-s.cnf,0.007000,18
f0020-05-u.cnf,0.006000,18
f0020-06-s.cnf,0.006000,18
f0020-06-u.cnf,0.005000,18
f0020-07-s.cnf,0.008000,18
f0020-07-u.cnf,0.003000,19
f0020-08-s.cnf,0.005000,17
f0020-08-u.cnf,0.006000,18
f0040-01-s.cnf,0.098000,36
f0040-01-u.cnf,0.080000,37
f0040-02-s.cnf,0.038000,39
f0040-02-u.cnf,0.087000,36
f0040-03-s.cnf,0.039000,38
f0040-03-u.cnf,0.060000,37
f0040-04-s.cnf,0.070000,36
f0040-04-u.cnf,0.063000,36
f0040-05-s.cnf,0.045000,37
f0040-05-u.cnf,0.057000,36
f0040-06-s.cnf,0.023000,39
f0040-06-u.cnf,0.045000,37
f0040-07-s.cnf,0.028000,38
f0040-07-u.cnf,0.075000,34
f0040-08-s.cnf,0.036000,37
f0040-08-u.cnf,0.078000,34
